name,city,state,website
Little Mountain Marina Camping Resort, Langston,Alabama,http://rvcampresort.com/littlemountain.aspx
Gulf Breeze RV Resort, Gulf Shores,Alabama,http://www.gulfshores.com/details/gulf-breeze-rv-resort/153/default.aspx
Buck's Pocket State Park, AL,Alabama,http://www.alapark.com/BucksPocket/
DeSoto Resort State Park, Fort Payne,Alabama,http://www.alapark.com/DeSotoResort/Camping/
Luxury RV Resort, Gulf Shores,Alabama,http://www.redelephants.com/LuxuryRV.html
Island Retreat RV Park, Gulf Shores,Alabama,http://www.islandretreatrv.com
Atlanta Marietta Campground, GA,Georgia,http://www.amrvresort.com
Clifty Falls State Park, Madison,Indiana,http://www.in.gov/dnr/parklake/2985.htm
Gulf State Park Campground, Gulf Shores,Alabama,http://www.alapark.com/gulfstate/Camping/
Whispering Oaks Campground, Story City,Iowa,http://www.facebook.com/wocampground
Hospitality Woods RV Park, Searsport,Maine,http://www.rvparklist.com/rvpark/1283
Soo Locks Campground, Sault Ste. Marie,Michigan,http://www.rvparklist.com/rvpark/1447
Yogi Bear's Jellystone Park at Hagerstown, Williamsport,Maryland,http://www.jellystonemaryland.com/
Autumn Woods RV Park, Rochester,Minnesota,http://www.autumnwoodsrvpark.com/
Pipestone RV Campground, Pipestone,Minnesota,http://www.pipestonervcampground.com/
Lake of the Ozarks State Park, 403 Highway 134,Missouri,http://www.mostateparks.com/lakeozark.htm
Dakotah Meadows RV Park, Prior Lake,Minnesota,http://www.dakotahmeadows.com/
Driftwood Park Model , Clermont,New Jersey,http://www.hiddenacrescampground.com
Spruce Run Recreation Area, New Jersey,New Jersey,http://www.state.nj.us/dep/parksandforests/parks/spruce.html
Rivers Edge RV Park, Sparks,Nevada,http://www.riversedgervparksparks.com/
Cheerful Valley Campground, Phelps,New York,http://www.campingfriend.com/CheerfulValleyCampground/
Eagle Point State Park, Pottersville,New York,http://www.reserveamerica.com/jsp/commonpage.jsp?goto=/usa/ny/eagl/newindex.html
Ridgewood Campground, 1628 Jefferson Ave,New York,http://www.rvparklist.com/rvpark/1978
Northland Outfitters Campground, Germfask,Michigan,http://northoutfitters.com/campground.html
East Fork State Park, Bethel,Ohio,http://www.dnr.state.oh.us/parks/eastfork/tabid/732/Default.aspx
New York City North / Newburgh KOA, Plattekill,New York,http://koa.com/campgrounds/newburgh/
Honey Bear Campground & RV Resort, Boone,Oregon,http://www.honeybearrv.com/
Indian Creek Recreation Park, Gold Beach,Oregon,http://www.indiancreekrv.com/
Ireland's Ocean View RV Park, Gold Beach,Oregon,http://www.irelandsrvpark.com/irv_index.htm
Four Seasons RV Resort, Gold Beach,Oregon,http://www.fourseasonsrv.com/
Keen Lake Camping & Cottage Resort, Waymart,Pennsylvania,http://www.keenlake.com/index.html
Hickory Run State Park, White Haven,Pennsylvania,http://www.rvparklist.com/rvpark/2496
Ryerson Station State Park, Richhill,Pennsylvania,http://www.rvparklist.com/rvpark/2497
Philadelphia / West Chester KOA, Coatesville,Pennsylvania,http://koa.com/campgrounds/philadelphia/
John Gurney County Park, Hart,Michigan,http://www.johngurneypark.com/
Country Boy RV Park, Madison,Georgia,http://countryboysrv.com/
Spokane Creek, East Custer,South Dakota,http://www.spokanecreekresort.com/
Adventure Bound Camping Resort Gatlinuburg, 4609 E Pkwy,Tennessee,http://www.abgatlinburg.com/default.asp?pid=rvpr
Great Smoky Jellystone Camp-Resort, Cosby,Tennessee,http://www.greatsmokyjellystone.com/
Sugar Ridge RV Village & Campground, Danville,Vermont,http://www.sugarridgervpark.com
Bomoseen State Park, Castleton,Vermont,http://www.rvparklist.com/rvpark/3006
Roadrunner RV Park, Johnson City,Texas,http://www.roadrunnerrvelpaso.com/
Running Bear Camping Area, Ascutney,Vermont,http://www.runningbearvt.com/
Calumet County Park, County Road Ee,Wisconsin,http://www.co.calumet.wi.us/index.aspx?nid=167
Clark Family Campground , Orange City,Florida,http://www.clarkfamilycampground.com/
Spirit Mountain Campground, Duluth,Minnesota,http://www.spiritmt.com/campground.aspx
Teklanika Campground (NPS Campground), Denali National Park and Preserve,Alaska,http://www.nps.gov/dena/planyourvisit/campground-tek.htm
Rocky River Resort, Doniphan,Missouri,http://www.rockyriverresort.com/
Camp Huaco Springs, New Braunfels,Texas,http://www.camphuacosprings.com/
Big River RV Park, Big River,California,http://www.BigRiverRVPark.com/
Sicamous KOA, Sicamous,British Columbia,http://koa.com/campgrounds/sicamous/
Elk Neck State Park, North East,Maryland,http://www.dnr.state.md.us/publiclands/central/elkneck.asp
Stagecoach RV Park, St Augustine,Florida,http://stagecoachrv.net/
Holloway's Marina & RV Park, Big Bear Lake,California,http://www.bigbearboating.com/
Chamberlain Lake Campground, 1379 Connecticut 197,Connecticut,http://www.chamberlainlakecampground.net/
Escondido RV Resort, Escondido,California,http://www.escondidorv.com
Canyon RV Park, CA,California,http://canyonrvpark.com
Juno Beach RV Resort, North Palm Beach,Florida,http://junobeachrvresort.com
Riverbend Campground, Pigeon Forge,Tennessee,http://www.riverbendcampground.com
Winding River Campground, Hamilton Township,New Jersey,http://www.windingrivercamping.com
5 Star RV Park, Tyler,Texas,http://www.5starrvpark.com/
RV Village Camping Resort, Mercer,Pennsylvania,http://www.rvvillages.com/
At Rivers Edge RV Resort, Brookings,Oregon,http://www.atriversedge.com
Fall Lake Campground, MN,Minnesota,http://www.camprrm.com/Minnesota%20campgrounds.htm
Blue Mound State Park, Mounds Park Rd,Wisconsin,http://www.rvparklist.com/rvpark/5591
Franklin County RV Park at TRAC, Lutherville-Timonium,Washington,http://www.franklincountyrvpark.com/
Timberlake Resort Campground, Mears,Michigan,http://www.timberlakervresort.com
Aztec RV Resort (55+ park), Mesa,Arizona,http://www.jpkman.com/properties/aztec.asp
Corral RV Park, Tomball,Texas,http://www.corralrvpark.com/
Dolliver Memorial State Park, IA,Iowa,http://www.iowadnr.com/parks/state_park_list/dolliver.html
Clear Lake Campground, Buchanan,Wisconsin,http://www.rvparklist.com/rvpark/5846
Point Sebago RV Resort, Casco,Maine,http://www.pointsebago.com
Missinaibi Provincial Park, Unorganized,Ontario,http://www.ontarioparks.com/english/miss.html
Double M RV Resort & Campground, Lindsay,Ontario,http://www.doublemcampground.ca/index.jsp
Jedediah Smith Redwoods State Park, Crescent City,California,http://www.parks.ca.gov/?page_id=413
Whip In RV Park, Big Spring,Texas,http://www.whipinrvpark.com/index.html
Reno KOA at Boomtown, Verdi,Nevada,http://koa.com/campgrounds/reno/
Powers Lake City Park, Fargo,North Dakota,http://www.powerslakend.com/recreation.htm
Beach Loop RV Village, Petersburg,Oregon,http://beachlooprealty.com/listings/beach-loop-rv-village/
Overland Trail Campground, Fort Davis,Texas,http://www.texascamping.com/
Miles Motors RV Center & Campground, Mansfield,North Carolina,http://www.milesrvcenter.com/
MacMillen RV Park, Fort Davis,Texas,http://www.macmillenrvpark.com/
Galveston Island RV Resort, Galveston,Texas,http://www.rvparklist.com/rvpark/6310
Sandpoint Marina & RV Park, Ponderay,Arizona,http://www.sandpointresort.com
Lake Thunderbird State Park, Norman,Oklahoma,http://www.travelok.com/listings/view.profile/id.4386
Winter Ranch RV Resort, Alamo,Texas,http://www.winterranch.org/
Magnolia Lake RV Park, Goodrich,Texas,http://magnolialakervpark.com
Honesdale / Poconos KOA, Honesdale,Pennsylvania,http://koa.com/campgrounds/honesdale-pocono/
Cyprus Lake Campground (Parks Canada), Bruce Peninsula National Park,Ontario,http://www.pc.gc.ca/eng/pn-np/on/bruce/activ/activ2/activ2a.aspx
Fortune Bay Resort Casino RV Park, Tower,Minnesota,http://www.fortunebay.com
Sault Ste.Marie KOA, Sault Ste. Marie,Ontario,http://koa.com/campgrounds/sault-ste-marie/
Wayne County Fairgrounds & RV Park, Honesdale,Michigan,http://www.waynecountyfairgrounds.net/Camping.html
Bridgeport State Park, Bridgeport,Washington,http://www.parks.wa.gov/parks/?selectedpark=Bridgeport&subject=all
La Junta KOA, La Junta,Colorado,http://www.koa.com/where/co/06119/
Desert Sands RV Park, Phoenix,Arizona,http://www.campingfriend.com/desertsandsrvpark/
Hillsboro Campground and RV Park, Hillsboro,North Dakota,http://www.ndtourism.com/hillsboro/campgrounds-rv-parks/hillsboro-campground-and-rv-park
Governors' RV Park and Campground, Casselton,North Dakota,http://www.governorsinnnd.com/rvpark.html
Rockwood Park, St John,New Brunswick,http://www.new-brunswick.net/Saint_John/rockwood/rockwood.html
Country Woods RV Park, Franklin,North Carolina,http://www.countrywoodsrvpark.com/
Southwind RV Park, Guymon,Oklahoma,http://www.southwindrvpark.com/
Colorado Campground, CO,Colorado,http://www.rvparklist.com/rvpark/12781
Quality Camping Inc., Marshall,Michigan,http://www.rvparklist.com/rvpark/7480
Outdoor World - Harbor View Campground, Colonial Beach,Virginia,http://www.thousandtrails.com/getaways/virginia/harborview.asp
"Joyce's Motel, Cottages and RV Park", Richmond,Nova Scotia,http://www.joycesmotel.com/
Kamloops RV Park, Kamloops,British Columbia,http://www.kamloopsrvpark.ca
Grandview Bend Family Campground, Howe,Indiana,http://www.grandviewbend.com/
Azle RV Park, Springtown,Texas,http://azlewestrvpark.com/
"Williamsburg, Outdoor World ", Williamsburg,Virginia,http://www.1000trails.com/getaways/virginia/williamsburg.asp
Leadville RV Corral, Leadville,Colorado,http://www.mountainrvpark.com/
Mt. Princeton RV Park, Buena Vista,Colorado,http://www.mtprincetonrvpark.com
Sara's Campground, Erie,Pennsylvania,http://www.sarascampground.com
Stanton Lake City Campground, NE,Nebraska,http://www.lasr.net/pages/city.php?Falls%20City&Nebraska&&City_ID=NE0316011&Attraction_ID=NE0316011a012&VA=Y
Sheboygan County Marsh Park, Sheboygan,Wisconsin,http://www.elkhartlake.com/things-to-do/marsh-park-tower-wildlife-area/
Menominee Casino Bingo Hotel, Keshena,Wisconsin,http://www.menomineecasinoresort.com/?page_id=29&parent_page_id=27
Mud Lake Park, Dubuque,Iowa,http://www.dubuquecounty.com/ParkRec.cfm
Kelly's Countryside RV Park, Clearwater,Florida,http://www.kellyscountrysidervpark.com
Willie's Washington Camp Ground, Washington,Louisiana,http://www.wacampground.com/1769347.html
Pleasant Lake RV Resort, Bradenton,Florida,http://www.pleasantlakeresort.com/
Travelers Woods, Bernardston,Massachusetts,http://www.travelerswoods.com
Indianhead Resort, Lincoln,Massachusetts,http://www.indianhead-resort.com
Covert / South Haven KOA, Covert,Michigan,http://koa.com/where/mi/22228/
Weaver Park Campground, Lloydminster,Saskatchewan,http://www.lloydminster.ca/index.aspx?nid=534
Sunny Meadows Campground, Elm Creek,Nebraska,http://www.rvparklist.com/rvpark/8527
Pink Mountain Campsite, Pink Mountain,British Columbia,http://www.rvparklist.com/rvpark/8713
Hobuck Beach Resort, Neah Bay,Washington,http://hobuckbeachresort.com/rv.html
Finer Mobile Home/RV Park, Owasso,Kansas,http://www.rvparklist.com/rvpark/8715
Father Hennepin State Park, Isle,Minnesota,http://www.dnr.state.mn.us/state_parks/father_hennepin/index.html
Bear Creek Lake Park, Lakewood,Colorado,http://www.lakewood.org/bclp/
Pebble Creek Campground (NPS Campground), Yellowstone National Park,Wyoming,http://www.nps.gov/yell/planyourvisit/pebblecreek_cg.htm
Camp Adventure, Winston-Salem,North Carolina,http://www.lakejunaluska.com/accommodations.aspx?id=63
La Salle Peru KOA, North Utica,Illinois,http://www.koa.com/where/il/13124/
Weathers RV Park, Eagle Nest,New Mexico,http://weathersrvpark.qwestoffice.net/9552.html
Econolodge Inn / Suites and RV Park, Des Moines,Iowa,http://www.rvparklist.com/rvpark/9045
Argonia River Park, Argonia,Kansas,http://www.argoniadevelopment.com/river_park.htm
Little Glasses, Oklahoma 73446,Oklahoma,http://www.littleglasses.com/
Linwood Beach Marina & Campground, Linwood,Michigan,http://www.linwoodbeachmarina.com/campgrounds/saginaw-bay-campgrounds.html
Washington Island Camping Retreat, Stockholm,Wisconsin,http://www.washingtonislandcamping.com/
Lake Dennison Recreation Area, Baldwinville,Massachusetts,http://www.mass.gov/dcr/parks/central/lden.htm
Ottumwa Park Campground, IA,Iowa,http://www.cityofottumwa.org/node/288
Panhandle Campground, Guymon,Oklahoma,http://www.rvparklist.com/rvpark/9396
Biltmore Gardens RV Park, Savannah,Georgia,http://www.biltmorervpark.com/
Meadowbrook RV Park, Muskogee,Oklahoma,http://www.rvparklist.com/rvpark/10135
Woodsmoke Camping Resort, Fort Myers,Florida,http://www.woodsmokecampingresort.com/
Riverside RV Park, Kemmerer,Wyoming,http://www.rvparklist.com/rvpark/9558
Gun Creek COE, Davenport,Illinois,http://www.reserveamerica.com/camping/Gun_Creek/r/campgroundDetails.do?contractCode=NRSO&parkId=73198
Laguna Dam RV Park (South), Yuma,California,http://www.rvparklist.com/rvpark/9605
Camel Lake Campground, Bristol,Florida,http://www.fs.fed.us/r8/florida/apalachicola/recreation/camping.overview.php?p=1.1.2.2
Serenidad Hotel & RV Park, Mulegé,Baja California Sur,http://www.bajaquest.com/serenidad/
High Desert RV, USA,California,http://www.passport-america.com/campgrounds/united_states/california/alturas/high_desert_rv_resort/
Kyle Canyon Campground, Mt Charleston,Nevada,http://www.rvparklist.com/rvpark/9759
Stecoah Valley RV Resort, Robbinsville,North Carolina,http://www.stecoahvalleyrv.com
Sunset Palm RV Park, Yuma,Arizona,http://www.yumarvparks.com/sunset-palm-rv-park
Western Kentucky RV Park, Central City,Kentucky,https://www.facebook.com/pages/Western-Kentucky-RV-Park/172962812782434
Holiday Villages Medina, Bandera,Texas,http://holidayvillagesmedina.com/
Cumberland Gap Wilderness Road Campground, KY,Kentucky,http://www.nps.gov/cuga/index.htm
Kooser State Park, Somerset,Pennsylvania,http://www.dcnr.state.pa.us/stateparks/findapark/kooser/index.htm
Shoreline -  USFS, Elgin,Idaho,http://www.reserveamerica.com/campgroundDetails.do?contractCode=NRSO&parkId=70325
Westwind RV Park, Chetwynd,British Columbia,http://www.karo-ent.com/westwind.htm
Tetsa River Services, BC,British Columbia,http://tetsariver.com/
City of Canton - Mississippi River Park, Hannibal,Missouri,http://www.showmecanton.com/riverfront.html
Goreski's Landing Resort, Port Perry,Ontario,http://parkbridge.ca/prop/cottagerv/goreskislanding/home.aspx
Garrison's River Resort, Steelville,Missouri,http://garrisonsresort.com
Coal River Lodge & RV, Muncho Lake,British Columbia,http://www.coalriverlodge.com/index.html
Camping Le Marquis, Saint-Sulpice,Quebec,http://www.guidecamping.ca/cdcq/en/fiche_camping.asp?no_cdcq=181
Yogi Bear's Jellystone Park , 1339 Weiss St,Michigan,http://www.silverlakejellystone.com
"Waupaca Camping Park, LLC.", Waupaca,Wisconsin,http://www.waupacacampingpark.com
White Memorial Foundation Family Campgrounds, Litchfield,Connecticut,http://www.whitememorialcc.org
Kulshan Campground, WA,Washington,http://www.rv-camping.org/WA_Concrete.html
Big Lake Campground, Algoma,Wisconsin,http://www.biglakecampground.com/
River Forest Park Campground, New York,New York,http://www.campingfriend.com/riverforestpark/
Iroquois Trail Campsite, Frankford,Ontario,http://www.reach.net/~iroquois
Red Barn Campground, Benson,Arizona,http://www.rvparklist.com/rvpark/10759
Illiniwek Park and  Forest Preserve, Hampton,Illinois,http://www.ricfpd.org/Illiniwek.aspx
Ausable River Campsite, Keeseville,New York,http://www.rvparklist.com/rvpark/10860
Lazy Dazy Retreat, Lakeland,Florida,http://www.lazydazyretreat.com
Lake Cuyamaca Campground, Julian,California,http://www.lakecuyamaca.org
Rancho Ventana RV Resort, Blythe,California,http://ranchoventana.com
Bullwinkles Rustic Lodge's RV Park, Poplar Bluff,Missouri,http://www.bullwinklesrusticlodge.com/
Palms RV Park, Dickinson,Texas,http://www.palmsrvpark.com
Lake Haven Resort, Westwood,California,http://www.lakehavenresort.com/
Brad's Old Ferry Landing, LA,Louisiana,http://www.rvparklist.com/rvpark/11242
